ID,Site name,Longitude,Latitude,Altitude,Pinus
46,Beisu Lake,120.70 ,45.50 ,322,18.4397 
47,Bodongquan 1,93.87 ,35.52 ,4672,0.1715 
48,Bodongquan 2,93.87 ,35.52 ,4662,0.9761 
49,Budala Palace,91.25 ,29.67 ,3000,9.7179 
50,Bunan Lake,90.83 ,35.95 ,4876,0.0000 
51,Caerhan,96.30 ,36.50 ,2680,0.0000 
52,Caidamo 1,99.28 ,36.71 ,3100,1.6502 
53,Caidamo 2,98.89 ,36.73 ,3150,0.0000 
54,Caidamo 3,98.18 ,36.73 ,3120,1.3699 
55,Cangumiao,118.23 ,40.02 ,208,15.2941 
56,Caotan Lake,86.02 ,44.42 ,380,0.0000 
57,Cengcuo,90.52 ,28.97 ,4421,1.7073 
58,Chagannuoer,113.10 ,42.93 ,1302,2.6846 
59,Chaiwopu,87.80 ,43.55 ,1100,1.6949 
60,Changbai Mt 1,127.83 ,42.50 ,1270,13.1956 
61,Changbai Mt 2,127.83 ,42.50 ,1270,7.5099 
62,Changbai Mt 3,127.83 ,42.50 ,1270,8.1699 
63,Changbai Mt 4,127.83 ,42.50 ,1270,12.0879 
64,Changbai Mt 5,127.83 ,42.50 ,1270,22.2710 
65,Changbai Mt 6,127.83 ,42.50 ,1270,9.5398 
66,Changbai_Mt 1,128.13 ,42.03 ,1800,21.3675 
67,Changbai_Mt 2,128.13 ,42.03 ,1800,11.4894 
68,Changbai_Mt 3,128.13 ,42.03 ,1800,19.3333 
69,Changbai_Mt 4,128.13 ,42.03 ,1800,18.3824 
70,Changxingdao,121.20 ,39.60 ,40,20.6897 
71,Chanling 1-7,124.17 ,44.75 ,140,22.7273 
72,Chanling 2,124.17 ,44.75 ,140,0.0000 
73,Chaoli,120.10 ,36.10 ,10,6.3830 
74,Chaozhou,116.72 ,23.87 ,512,10.4430 
75,Chasuqi,111.10 ,40.70 ,1328,18.7500 
76,Chebaling 1,114.26 ,24.71 ,423,22.4718 
77,Chebaling 2,114.26 ,24.71 ,330,2.9621 
78,Chebaling 3,114.26 ,24.71 ,364,0.9384 
79,Chebaling 4,114.26 ,24.71 ,333,4.1508 
80,Chebaling 5,114.26 ,24.71 ,390,2.3602 
81,China 001,113.15 ,22.93 ,6,4.1658 
82,China 002,109.70 ,20.00 ,10,0.0000 
83,China 003,112.50 ,24.90 ,150,63.0660 
84,China 004,121.38 ,24.83 ,872,0.0000 
85,China 005,100.10 ,25.68 ,3290,82.0701 
86,China 006,113.13 ,23.32 ,10,2.9424 
87,China 007,100.11 ,25.68 ,3152,78.5507 
88,China 008,100.10 ,25.68 ,3289,87.9012 
89,China 009,100.16 ,26.15 ,3321,94.4311 
90,China 010,109.10 ,19.70 ,-1,1.3581 
91,China 011,121.43 ,24.79 ,1200,1.3699 
92,China 012,100.16 ,26.46 ,2324,72.7045 
93,China 013,108.81 ,18.74 ,800,0.0000 
94,China 014,121.38 ,24.83 ,878,0.0000 
95,China 015,109.94 ,18.85 ,800,0.6642 
96,China 016,100.17 ,26.99 ,3305,76.2505 
97,China 017,100.17 ,26.95 ,3054,82.1818 
98,China 018,100.67 ,21.83 ,560,84.4084 
99,China 019,111.42 ,23.37 ,220,58.3358 
100,China 020,100.10 ,25.68 ,3288,88.5089 
101,China 021,121.43 ,24.79 ,1175,1.4599 
102,China 022,121.37 ,24.83 ,580,2.2000 
103,China 023,121.38 ,24.83 ,850,0.0000 
104,China 024,108.80 ,18.70 ,500,1.2701 
105,China 025,121.43 ,24.79 ,1195,1.9202 
106,China 026,110.14 ,25.53 ,300,58.5217 
107,China 027,114.33 ,22.38 ,-15,18.8525 
108,China 028,109.50 ,18.20 ,-1,0.0000 
109,China 029,121.38 ,24.83 ,880,2.2202 
110,China 030,108.82 ,18.70 ,450,0.0000 
111,China 031,121.38 ,24.83 ,800,1.6798 
112,China 032,100.10 ,25.68 ,3287,91.7767 
113,China 033,100.17 ,26.31 ,2255,82.0274 
114,China 034,121.43 ,24.79 ,1170,3.8992 
115,China 035,121.43 ,24.79 ,1260,0.5199 
116,China 036,113.03 ,25.95 ,140,12.5039 
117,China 037,109.49 ,19.70 ,20,4.7914 
118,China 038,113.30 ,22.47 ,-18,16.6650 
119,China 039,111.42 ,23.37 ,380,33.0300 
120,China 040,121.44 ,24.79 ,1295,2.5603 
121,China 041,100.67 ,21.83 ,560,41.4883 
122,China 042,106.75 ,26.45 ,1070,50.3322 
123,China 043,121.44 ,24.78 ,1480,2.1807 
124,China 044,121.43 ,24.79 ,1240,0.4700 
125,China 045,100.10 ,25.68 ,3308,71.2085 
126,China 046,116.63 ,23.55 ,5,11.0072 
127,China 047,110.70 ,19.60 ,45,2.6908 
128,China 048,109.20 ,19.80 ,2,11.2490 
129,China 049,109.60 ,19.90 ,2,3.8818 
130,China 050,109.20 ,19.80 ,1,1.9558 
131,China 051,113.13 ,23.33 ,-15,1.5148 
132,China 052,105.76 ,26.00 ,1350,66.8167 
133,China 053,100.17 ,26.98 ,3262,93.1327 
134,China 054,121.37 ,24.83 ,615,7.5764 
135,China 055,113.30 ,25.10 ,130,25.7229 
136,China 056,121.44 ,24.78 ,1400,8.1908 
137,China 057,100.16 ,26.95 ,2948,63.6163 
138,China 058,100.20 ,26.95 ,2700,55.9924 
139,China 059,110.20 ,21.20 ,50,71.7000 
140,China 060,114.33 ,22.37 ,-20,74.1452 
141,China 061,114.03 ,22.27 ,-30,48.3252 
142,China 062,108.80 ,18.73 ,650,0.0000 
143,China 063,100.17 ,26.96 ,3138,72.9754 
144,China 064,100.26 ,26.76 ,2425,81.7809 
145,China 065,105.76 ,26.00 ,1350,65.4331 
146,China 066,102.45 ,25.30 ,2000,17.6218 
147,China 067,121.44 ,24.78 ,1460,2.5503 
148,China 068,109.20 ,19.80 ,-1,6.2935 
149,China 069,109.00 ,19.60 ,2,0.0000 
150,China 070,121.44 ,24.79 ,1320,2.2602 
151,China 071,112.27 ,23.10 ,500,2.9577 
152,China 073,108.80 ,18.70 ,950,0.0000 
153,China 074,111.02 ,21.47 ,-10,11.5405 
154,China 075,100.59 ,21.67 ,400,22.1422 
155,China 076,121.43 ,24.79 ,1220,0.0000 
156,China 077,113.30 ,25.10 ,120,41.6594 
157,China 078,121.38 ,24.83 ,876,0.7098 
158,China 079,110.23 ,18.69 ,19,0.0000 
159,China 080,109.80 ,18.30 ,4,0.9897 
160,China 081,116.12 ,24.60 ,160,15.6250 
161,China 082,110.15 ,20.20 ,180,64.0026 
162,China 083,100.10 ,25.68 ,3307,70.9200 
163,China 084,114.30 ,22.25 ,-25,65.6600 
164,China 085,109.60 ,18.30 ,0,0.0000 
165,China 086,121.44 ,24.79 ,1340,4.9975 
166,China 087,121.44 ,24.79 ,1290,0.6299 
167,China 088,102.50 ,25.21 ,2200,0.0000 
168,China 089,111.42 ,23.37 ,280,28.4200 
169,China 090,114.22 ,22.28 ,-30,15.0000 
170,China 091,108.80 ,18.70 ,620,0.0000 
171,China 092,109.80 ,26.00 ,450,50.0000 
172,China 093,109.41 ,24.11 ,120,19.5675 
173,China 094,110.04 ,25.53 ,400,56.3069 
174,China 095,114.70 ,25.40 ,250,58.8223 
175,China 096,114.70 ,25.40 ,300,73.7033 
176,China 097,121.38 ,24.83 ,874,2.0500 
177,China 098,108.10 ,22.50 ,130,41.9212 
178,China 099,109.61 ,23.50 ,120,61.0130 
179,China 100,109.70 ,18.20 ,10,0.0000 
180,China 101,121.37 ,24.83 ,600,5.8506 
181,China 102,110.80 ,19.50 ,4,0.0000 
182,China 103,113.10 ,23.35 ,18,25.5749 
183,China 104,105.91 ,26.25 ,1300,73.6026 
184,China 105,121.37 ,24.83 ,540,1.2700 
185,China 106,110.15 ,20.60 ,200,7.8416 
186,China 107,121.38 ,24.83 ,870,0.9500 
187,China 108,110.30 ,25.06 ,130,68.1359 
188,China 110,116.20 ,24.60 ,180,26.9239 
189,China 111,105.76 ,26.00 ,1350,79.6439 
190,China 112,100.18 ,26.95 ,2838,75.7197 
191,China 113,109.40 ,19.90 ,34,0.0000 
192,China 114,109.80 ,26.00 ,460,51.2772 
193,China 115,117.37 ,27.64 ,172,1.0677 
194,China 116,121.43 ,24.79 ,1190,9.2991 
195,China 117,114.51 ,26.79 ,169,23.3333 
196,China 118,109.70 ,19.40 ,35,0.0000 
197,China 119,108.90 ,19.22 ,250,3.2287 
198,China 120,108.60 ,19.00 ,10,30.6101 
199,China 121,111.05 ,21.48 ,-20,4.4159 
200,China 122,114.32 ,22.38 ,-18,6.2047 
201,China 123,113.30 ,25.10 ,200,100.0000 
202,China 124,116.58 ,23.34 ,5,2.4428 
203,China 125,121.37 ,24.82 ,700,6.5787 
204,China 126,110.04 ,25.53 ,520,39.5079 
205,China 127,102.51 ,25.25 ,2000,17.5682 
206,China 128,108.80 ,18.70 ,850,0.0000 
207,China 129,118.10 ,25.72 ,1360,26.3926 
208,China 130,109.10 ,19.70 ,0,3.6359 
209,China 131,109.60 ,18.90 ,1120,13.2174 
210,China 132,121.47 ,24.82 ,1090,1.4594 
211,China 133,102.53 ,25.20 ,1900,31.4500 
212,China 134,108.80 ,18.70 ,750,4.0676 
213,China 135,121.43 ,24.79 ,1280,0.0000 
214,China 136,115.20 ,26.10 ,120,65.6678 
215,China 137,102.52 ,25.22 ,1900,49.3700 
216,China 138,121.47 ,24.82 ,1095,0.0000 
217,China 139,108.80 ,18.70 ,750,0.0000 
218,China 140,121.43 ,24.79 ,1285,0.0000 
219,China 141,110.20 ,21.20 ,60,64.1020 
220,China 142,121.37 ,24.83 ,560,5.9106 
221,China 143,113.30 ,25.20 ,100,15.3787 
222,China 144,109.99 ,18.93 ,800,0.0000 
223,China 145,109.70 ,18.83 ,800,0.0000 
224,China 146,112.80 ,24.00 ,137,75.0000 
225,China 147,121.44 ,24.78 ,1420,3.4097 
226,Chitsai Lake,121.23 ,23.80 ,2890,22.4719 
227,Chuanlong,113.87 ,23.62 ,531,4.9815 
228,Cuiluan,128.70 ,47.40 ,250,33.3333 
229,Cuoer 1,91.50 ,31.47 ,4515,1.4493 
230,Cuoer 2,91.52 ,31.57 ,4545,0.6042 
231,Cuomorong,92.07 ,31.62 ,4410,0.3067 
232,Cuona 1,91.40 ,32.07 ,4740,9.2784 
233,Cuona 2,91.44 ,32.06 ,4588,2.8846 
234,Cuona 3,91.40 ,32.07 ,4772,15.7804 
235,Cuona 4,91.45 ,32.15 ,4600,1.2422 
236,Dadianzi,126.38 ,42.35 ,620,7.6923 
237,Dadiwan,105.82 ,35.76 ,1250,2.2472 
238,Dafeng Mt 1,110.28 ,25.28 ,50,100.0000 
239,Dafeng Mt 2,110.28 ,25.28 ,50,14.2857 
240,Dahaizi 1,102.33 ,27.50 ,3660,42.5743 
241,Dahaizi 2,102.67 ,27.83 ,3660,44.4444 
242,Dahu Lake_DW,115.03 ,24.25 ,250,65.0407 
243,Daihai,112.67 ,40.58 ,1221,0.0000 
244,Daihai 99a,112.67 ,40.58 ,1220,3.4483 
245,Dajiuhu,110.20 ,31.30 ,1700,17.5610 
246,Dajiuhu 1,110.67 ,31.75 ,1700,15.2174 
247,Dajiuhu 2,110.67 ,31.75 ,1700,34.8837 
248,Dalijia 1,102.84 ,35.56 ,2760,1.0753 
249,Dalijia 2,102.79 ,35.57 ,3064,5.3763 
250,Dalijia 3,102.74 ,35.57 ,3612,4.5045 
251,Daluoba,88.00 ,48.00 ,2020,1.2270 
252,Daming Mt 1,108.39 ,23.51 ,1263,11.1778 
253,Daming Mt 2,108.38 ,23.51 ,1165,52.3560 
254,Daming Mt 3,108.39 ,23.51 ,1278,10.1869 
255,Daming Mt 4,108.42 ,23.49 ,1241,16.3833 
256,Daxigou 01,86.90 ,43.10 ,2250,0.0000 
257,Daxigou 02,86.90 ,43.10 ,2400,0.0000 
258,Daxigou 03,86.90 ,43.10 ,2450,0.0000 
259,Daxigou 04,86.90 ,43.10 ,2550,0.0000 
260,Daxigou 05,86.90 ,43.10 ,2650,0.0000 
261,Daxigou 06,86.90 ,43.10 ,2700,0.0000 
262,Daxigou 07,86.90 ,43.10 ,2800,0.0000 
263,Daxigou 08,86.90 ,43.10 ,3000,0.0000 
264,Daxigou 09,86.90 ,43.10 ,3100,0.0000 
265,Daxigou 10,86.90 ,43.10 ,3150,0.0000 
266,Daxigou 11,86.90 ,43.10 ,3300,0.0000 
267,Daxigou 12,86.90 ,43.10 ,3400,0.0000 
268,Daxigou 13,86.90 ,43.10 ,3400,0.0000 
269,Daxigou 14,86.90 ,43.10 ,3450,0.0000 
270,Daxinganling Mt A1,119.47 ,49.18 ,600,40.3438 
271,Daxinganling Mt A2,119.47 ,49.25 ,580,64.5349 
272,Daxinganling Mt A3,121.75 ,50.03 ,580,61.9395 
273,Daxinganling Mt CY1,124.30 ,50.05 ,347,47.5050 
274,Daxinganling Mt CY2,124.43 ,50.10 ,351,37.0741 
275,Daxinganling Mt CY3,124.39 ,50.05 ,351,62.7255 
276,Daxinganling Mt CY4,124.39 ,50.05 ,340,40.8862 
277,Daxinganling Mt DY1,120.58 ,49.28 ,640,9.5095 
278,Daxinganling Mt GH1,121.60 ,50.80 ,600,14.5030 
279,Daxinganling Mt GH2,121.60 ,50.83 ,670,33.8759 
280,Daxinganling Mt GH3,121.60 ,50.85 ,700,54.7264 
281,Daxinganling Mt GH4,121.60 ,50.91 ,695,68.1342 
282,Daxinganling Mt GH5,121.60 ,50.83 ,650,11.0053 
283,Daxinganling Mt H1,118.46 ,49.24 ,590,1.3039 
284,Daxinganling Mt H2,118.54 ,49.22 ,580,25.6881 
285,Daxinganling Mt H3,118.53 ,49.22 ,570,22.1221 
286,Daxinganling Mt H4,118.50 ,49.20 ,550,10.3689 
287,Daxinganling Mt H5,118.70 ,49.18 ,570,35.9127 
288,Daxinganling Mt H6,118.70 ,49.18 ,570,19.8596 
289,Daxinganling Mt HL1,120.88 ,49.38 ,610,26.9344 
290,Daxinganling Mt HL2,120.88 ,49.38 ,610,25.9557 
291,Daxinganling Mt KLC01,121.90 ,50.95 ,800,24.3243 
292,Daxinganling Mt KLC02,121.89 ,50.93 ,820,44.7475 
293,Daxinganling Mt KLC03,121.90 ,50.93 ,830,60.0202 
294,Daxinganling Mt KLC04,121.90 ,50.88 ,880,16.6667 
295,Daxinganling Mt KLC05,121.90 ,50.91 ,900,29.0581 
296,Daxinganling Mt KLC06,121.90 ,50.85 ,910,36.8631 
297,Daxinganling Mt KLC07,121.90 ,50.88 ,950,78.7000 
298,Daxinganling Mt KLC08,121.90 ,50.93 ,820,73.8328 
299,Daxinganling Mt KLC09,121.90 ,50.83 ,1000,74.7495 
300,Daxinganling Mt KLC10,122.00 ,50.95 ,900,45.2941 
301,Daxinganling Mt KLC11,122.00 ,50.90 ,950,61.7383 
302,Daxinganling Mt KLC12,122.00 ,50.93 ,970,66.8332 
303,Daxinganling Mt KLC13,122.00 ,50.96 ,990,72.1000 
304,Daxinganling Mt L1,118.93 ,49.23 ,540,1.6016 
305,Daxinganling Mt L2,118.93 ,49.20 ,535,10.3083 
306,Daxinganling Mt L3,118.93 ,49.25 ,550,4.7047 
307,Daxinganling Mt L4,118.93 ,49.22 ,540,2.6078 
308,Daxinganling Mt L6,119.01 ,49.22 ,537,36.9739 
309,Daxinganling Mt L7,118.97 ,49.22 ,537,27.0000 
310,Daxinganling Mt ML2,117.64 ,49.50 ,700,56.4646 
311,Daxinganling Mt ML3,117.64 ,49.51 ,700,25.2930 
312,Daxinganling Mt MT3,121.32 ,49.55 ,670,14.7348 
313,Daxinganling Mt MT4,121.32 ,49.50 ,670,16.5844 
314,Daxinganling Mt MT5,121.48 ,49.61 ,740,65.9660 
315,Daxinganling Mt MT6,121.48 ,49.55 ,740,8.5233 
316,Daxinganling Mt MY1,121.16 ,49.43 ,640,19.9396 
317,Daxinganling Mt MY2,121.16 ,49.45 ,640,54.1899 
318,Daxinganling Mt MY3,121.16 ,49.48 ,650,68.6858 
319,Daxinganling Mt NC1,121.00 ,49.40 ,640,11.0092 
320,Daxinganling Mt NC2,121.00 ,49.45 ,640,11.6232 
321,Daxinganling Mt NC3,121.00 ,49.43 ,640,12.6506 
322,Daxinganling Mt Q1,121.75 ,50.03 ,860,9.3000 
323,Daxinganling Mt Q2,121.75 ,50.10 ,830,22.9095 
324,Daxinganling Mt Q3,121.70 ,50.11 ,810,18.5083 
325,Daxinganling Mt Q4,121.67 ,50.05 ,805,19.9203 
326,Daxinganling Mt SL02,120.33 ,49.26 ,600,63.3000 
327,Daxinganling Mt SL03,120.33 ,49.23 ,600,23.3000 
328,Daxinganling Mt SL04,120.13 ,49.13 ,600,11.6232 
329,Daxinganling Mt SL05,120.17 ,49.10 ,600,39.7397 
330,Daxinganling Mt SL06,120.17 ,49.10 ,600,48.7629 
331,Daxinganling Mt SL07,120.17 ,49.13 ,600,48.6895 
332,Daxinganling Mt SL08,120.21 ,49.16 ,600,39.4366 
333,Daxinganling Mt SL09,120.25 ,49.18 ,620,79.4795 
334,Daxinganling Mt SL10,120.25 ,49.18 ,610,79.0419 
335,Daxinganling Mt SL11,120.25 ,49.21 ,605,52.6795 
336,Daxinganling Mt SL12,120.13 ,49.08 ,600,20.9939 
337,Daxinganling Mt SL13,120.17 ,49.05 ,600,18.0819 
338,Daxinganling Mt SL14,120.08 ,49.11 ,600,66.0594 
339,Daxinganling Mt SS1,120.92 ,49.43 ,660,22.7634 
340,Daxinganling Mt SS2,120.92 ,49.40 ,660,25.5000 
341,Daxinganling Mt WLQ1,121.60 ,50.20 ,700,45.6105 
342,Daxinganling Mt WLQ2,121.60 ,50.26 ,700,25.1799 
343,Daxinganling Mt WRC01,121.56 ,49.65 ,680,17.8462 
344,Daxinganling Mt WRC02,121.56 ,49.67 ,680,10.9129 
345,Daxinganling Mt WRC03,121.58 ,49.65 ,700,6.2055 
346,Daxinganling Mt WRC04,121.63 ,49.65 ,700,29.1291 
347,Daxinganling Mt WRC05,121.58 ,49.66 ,700,19.0572 
348,Daxinganling Mt WRC07,121.67 ,49.63 ,710,40.8635 
349,Daxinganling Mt WRC08,121.67 ,49.65 ,700,44.0937 
350,Daxinganling Mt WRC09,121.79 ,49.65 ,710,21.4440 
351,Daxinganling Mt WRC10,121.79 ,49.68 ,710,10.6319 
352,Daxinganling Mt WRC11,121.79 ,49.71 ,705,14.3287 
353,Daxinganling Mt WRC12,121.79 ,49.68 ,705,22.2112 
354,Daxinganling Mt WS1,121.24 ,49.48 ,650,14.5833 
355,Daxinganling Mt WS2,121.24 ,49.46 ,650,7.9798 
356,Daxinganling Mt XA,121.70 ,50.04 ,720,29.2879 
357,Daxinganling Mt YTL1,121.64 ,50.50 ,750,71.7588 
358,Daxinganling Mt YTL2,121.69 ,50.50 ,750,28.7879 
359,Dayandong 1,110.28 ,25.28 ,50,100.0000 
360,Dayaocun,111.68 ,40.80 ,1500,0.0000 
361,Dayawan 01,114.67 ,22.75 ,0,16.6683 
362,Dayawan 02,114.63 ,22.65 ,0,20.0021 
363,Dayawan 03,114.60 ,22.62 ,0,20.0000 
364,Dayawan 04,114.75 ,22.57 ,0,50.0000 
365,Dayawan 05,114.63 ,22.75 ,0,11.1111 
366,Dayawan 06,114.57 ,22.58 ,0,71.4229 
367,Dayawan 07,114.62 ,22.72 ,0,100.0000 
368,Dayawan 08,114.75 ,22.75 ,0,11.1111 
369,Dayawan 09,114.67 ,22.62 ,0,64.7165 
370,Dayawan 10,114.72 ,22.65 ,0,62.5000 
371,Dayawan 11,114.43 ,22.53 ,0,4.1700 
372,Dayawan 12,114.48 ,22.43 ,0,33.3333 
373,Dayawan 13,114.52 ,22.65 ,0,18.1800 
374,Dayawan 14,114.60 ,22.65 ,0,14.2886 
375,Dayawan 15,114.83 ,22.53 ,0,27.7744 
376,Dayawan 16,114.67 ,22.53 ,0,37.5000 
377,Dayawan 17,114.78 ,22.53 ,0,26.6673 
378,Dayawan 18,114.87 ,22.58 ,0,50.0000 
379,Dayawan 19,114.78 ,22.78 ,0,0.0000 
380,Dayawan 20,114.63 ,22.50 ,0,57.1343 
381,Dayawan 21,114.67 ,22.68 ,0,16.6683 
382,Dayawan 22,114.60 ,22.58 ,0,43.7500 
383,Dayawan 23,114.72 ,22.68 ,0,75.0000 
384,Dayawan 24,114.55 ,22.57 ,0,47.0647 
385,Dayawan 25,114.95 ,22.57 ,0,43.7500 
386,Dayawan 26,114.87 ,22.53 ,0,60.7161 
387,Dayawan 27,114.92 ,22.57 ,0,53.3247 
388,Dayawan 28,114.43 ,22.47 ,0,38.4638 
389,Dayawan 29,114.72 ,22.50 ,0,57.1343 
390,Dayawan 30,114.83 ,22.58 ,0,78.5700 
391,Dayawan 31,114.75 ,22.53 ,0,33.3300 
392,Dayawan 32,114.72 ,22.53 ,0,28.5671 
393,Dayawan 33,114.67 ,22.50 ,0,33.3267 
394,Dayawan 34,114.95 ,22.65 ,0,44.4527 
395,Dayawan 35,114.63 ,22.62 ,0,23.0800 
396,Dayawan 36,114.63 ,22.53 ,0,62.4938 
397,Dayawan 37,114.52 ,22.57 ,0,52.6405 
398,Dayawan 38,114.78 ,22.58 ,0,41.6700 
399,Dayawan 39,114.63 ,22.72 ,0,36.3636 
400,Dayawan 40,114.75 ,22.50 ,0,70.0000 
401,Dayawan 41,114.67 ,22.57 ,0,44.4444 
402,Dayawan 42,114.67 ,22.65 ,0,58.3358 
403,Dayawan 43,114.60 ,22.68 ,0,66.6700 
404,Dayawan 44,114.98 ,22.57 ,0,78.5700 
405,Dayawan 45,114.72 ,22.57 ,0,28.5700 
406,Dayawan 46,114.95 ,22.62 ,0,44.4527 
407,Dayawan 47,114.63 ,22.68 ,0,35.7171 
408,Dayawan 48,114.72 ,22.72 ,0,74.0774 
409,Dayawan 49,114.55 ,22.68 ,0,2.0402 
410,Dayawan 50,114.72 ,22.75 ,0,6.2500 
411,Dayawan 51,114.78 ,22.50 ,0,53.8554 
412,Dianchi,102.67 ,25.00 ,1893,36.7647 
413,Dinghu 1,112.58 ,23.25 ,1000,51.4197 
414,Dinghu 2,112.55 ,23.18 ,0,1.8158 
415,Dingnan,115.03 ,24.75 ,274,14.5833 
416,Dingri 1,86.80 ,28.50 ,5000,2.0710 
417,Dingri 2,86.40 ,28.30 ,4500,1.9560 
418,Dongfuyechi,117.18 ,34.62 ,3410,28.9007 
419,Donghai 1,122.53 ,31.13 ,-35,5.3191 
420,Donghai 2,122.72 ,31.25 ,-45,43.0108 
421,Donghai 3,122.75 ,31.17 ,-50,42.0635 
422,Dongling Mt 01,115.45 ,40.03 ,2300,5.3892 
423,Dongling Mt 02,115.45 ,40.03 ,2280,4.1675 
424,Dongling Mt 03,115.45 ,40.03 ,1730,0.2523 
425,Dongling Mt 04,115.45 ,40.03 ,1560,7.0756 
426,Dongling Mt 05,115.45 ,40.03 ,1500,11.8919 
427,Dongling Mt 06,115.45 ,40.03 ,1420,16.8831 
428,Dongling Mt 07,115.45 ,40.03 ,1300,3.9008 
429,Dongling Mt 08,115.45 ,40.03 ,1140,77.3437 
430,Dongling Mt 09,115.45 ,40.03 ,1120,6.5388 
431,Dongling Mt 10,115.45 ,40.03 ,1030,16.9094 
432,Donglingshan,115.43 ,40.00 ,1030,19.2513 
433,Doupeng Mt 1,107.45 ,26.35 ,873,26.8161 
434,Doupeng Mt 2,107.37 ,26.35 ,999,27.1637 
435,Duantouliang,103.92 ,39.62 ,1266,0.9804 
436,Dulan 1,98.17 ,36.19 ,3360,0.0000 
437,Dulan 2,98.06 ,36.06 ,3290,0.0000 
438,Dunde,96.40 ,38.10 ,5325,1.3029 
439,Ejinaqi,101.00 ,42.00 ,1000,2.9703 
440,Erhai ES,100.20 ,25.77 ,1969,89.3617 
441,Erlucuo,91.70 ,31.55 ,4530,3.2419 
442,Fenghuang Mt 1,116.64 ,23.95 ,1370,14.9166 
443,Fenghuang Mt 2,116.64 ,23.95 ,1276,20.6037 
444,Fenghuang Mt 3,116.68 ,23.90 ,450,2.2330 
445,Fenghuang Mt 4,116.64 ,23.95 ,1370,14.7080 
446,Fengning,116.63 ,41.20 ,736,0.0000 
447,Fujian 1,118.10 ,27.75 ,400,66.6667 
448,Fujian 2,117.75 ,27.83 ,2158,95.0704 
449,Futian FX3,110.47 ,19.23 ,13,4.7619 
450,Fuzhou,119.30 ,26.10 ,85,40.7407 
451,Gahai 1,102.31 ,34.24 ,3440,18.7215 
452,Gahai 2,102.31 ,34.24 ,3440,5.0000 
453,Gahai 3,102.30 ,34.35 ,3610,8.4639 
454,Gangou,87.50 ,43.75 ,1300,0.2770 
455,Gaoximage,115.37 ,42.95 ,1253,6.1728 
456,Gaoyi,110.01 ,26.95 ,243,9.8210 
457,Geermo 1,94.81 ,36.08 ,3184,0.0000 
458,Geermo 2,95.09 ,36.35 ,2817,0.9772 
459,Gerencuo 1,92.45 ,34.59 ,4650,0.0000 
460,Gerencuo 2,92.39 ,34.63 ,4650,2.5806 
